trait,Var1,gen,FD,loc,cv,max,mean,median,min,sd.amo,se,ci
K,ABI700,61,6,WA,9.5246,2.9602,2.7646,2.8609,2.3766,0.2633,0.1317,0.419
Lignin,Maverick,112,1,ID,10.8581,6.0369,5.407,5.4333,4.7246,0.5871,0.2935,0.9342
Lignin,Maverick,112,1,OR,5.6641,5.5775,5.1983,5.1605,4.8948,0.2944,0.1472,0.4685
Lignin,Maverick,112,1,WA,5.737,5.3643,5.0684,5.0482,4.8128,0.2908,0.1454,0.4627
Lignin,Vernal,201,2,ID,9.5686,5.8849,5.5091,5.6928,4.7657,0.5271,0.2636,0.8388
Lignin,Vernal,201,2,OR,4.7668,5.7199,5.3639,5.2989,5.1377,0.2557,0.1278,0.4068
Lignin,Vernal,201,2,WA,7.8291,5.7155,5.1939,5.0978,4.8645,0.4066,0.2033,0.6471
Lignin,22277_5246,144,3,ID,10.9063,6.0974,5.4756,5.53,4.745,0.5972,0.2986,0.9503
Lignin,22277_5246,144,3,OR,4.6786,5.6426,5.4078,5.4467,5.095,0.253,0.1265,0.4026
Lignin,22277_5246,144,3,WA,10.2737,5.9589,5.2837,5.1689,4.8379,0.5428,0.2714,0.8638
Lignin,Higest_360,202,3,ID,9.0013,5.7149,5.2686,5.3133,4.7328,0.4742,0.2371,0.7546
Lignin,Higest_360,202,3,OR,3.608,5.4865,5.2449,5.2332,5.0267,0.1892,0.0946,0.3011
Lignin,Higest_360,202,3,WA,7.9316,5.6368,5.1557,5.0877,4.8108,0.4089,0.2045,0.6507
Lignin,Legend,44,4,ID,12.1706,6.2672,5.5101,5.5108,4.7515,0.6706,0.3353,1.0671
Lignin,Legend,44,4,OR,4.2987,5.6688,5.3627,5.3363,5.1092,0.2305,0.1153,0.3668
Lignin,Legend,44,4,WA,8.292,5.611,5.2281,5.2276,4.8464,0.4335,0.2168,0.6898
Lignin,Archer,104,5,ID,12.1841,6.2966,5.5141,5.5037,4.7524,0.6718,0.3359,1.069
Lignin,Archer,104,5,OR,4.2032,5.6351,5.3302,5.2945,5.0965,0.224,0.112,0.3565
Lignin,Archer,104,5,WA,7.3534,5.51,5.1797,5.1824,4.8437,0.3809,0.1904,0.6061
Lignin,ABI700,61,6,ID,11.428,6.1819,5.5207,5.5738,4.7533,0.6309,0.3155,1.0039
Lignin,ABI700,61,6,OR,4.4956,5.6956,5.3645,5.3208,5.1207,0.2412,0.1206,0.3837
Lignin,ABI700,61,6,WA,10.7688,6.0476,5.3087,5.1683,4.8508,0.5717,0.2858,0.9097
Mg,Maverick,112,1,ID,12.4393,0.3886,0.3597,0.3786,0.293,0.0447,0.0224,0.0712
Mg,Maverick,112,1,OR,8.9538,0.3681,0.3282,0.3238,0.2973,0.0294,0.0147,0.0468
Mg,Maverick,112,1,WA,8.4814,0.3587,0.3382,0.3489,0.2963,0.0287,0.0143,0.0456
Mg,Vernal,201,2,ID,11.0523,0.3801,0.3584,0.3772,0.2991,0.0396,0.0198,0.063
Mg,Vernal,201,2,OR,9.1437,0.367,0.3265,0.322,0.295,0.0299,0.0149,0.0475
Mg,Vernal,201,2,WA,9.3626,0.3667,0.3372,0.344,0.294,0.0316,0.0158,0.0502
Mg,22277_5246,144,3,ID,11.7832,0.382,0.3571,0.3761,0.2941,0.0421,0.021,0.067
Mg,22277_5246,144,3,OR,10.3631,0.3674,0.3221,0.317,0.2869,0.0334,0.0167,0.0531
Mg,22277_5246,144,3,WA,10.6321,0.3519,0.3118,0.306,0.2834,0.0332,0.0166,0.0528
Mg,Higest_360,202,3,ID,12.2871,0.3956,0.3622,0.3783,0.2966,0.0445,0.0223,0.0708
Mg,Higest_360,202,3,OR,7.4546,0.3695,0.3355,0.3317,0.3091,0.025,0.0125,0.0398
Mg,Higest_360,202,3,WA,7.5709,0.3671,0.343,0.3483,0.3083,0.026,0.013,0.0413
Mg,Legend,44,4,ID,13.4253,0.3813,0.3407,0.3472,0.287,0.0457,0.0229,0.0728
Mg,Legend,44,4,OR,10.0733,0.3671,0.3229,0.318,0.2886,0.0325,0.0163,0.0518
Mg,Legend,44,4,WA,8.597,0.3519,0.3232,0.3266,0.2876,0.0278,0.0139,0.0442
Mg,Archer,104,5,ID,9.1355,0.3787,0.3491,0.3481,0.3214,0.0319,0.0159,0.0507
Mg,Archer,104,5,OR,7.3284,0.368,0.3347,0.331,0.3088,0.0245,0.0123,0.039
Mg,Archer,104,5,WA,7.1757,0.3622,0.341,0.3468,0.308,0.0245,0.0122,0.0389
Mg,ABI700,61,6,ID,10.0487,0.3783,0.3576,0.3741,0.3037,0.0359,0.018,0.0572
Mg,ABI700,61,6,OR,6.8334,0.3682,0.3369,0.3334,0.3127,0.023,0.0115,0.0366
Mg,ABI700,61,6,WA,6.9817,0.3672,0.3466,0.3536,0.3119,0.0242,0.0121,0.0385
P,Maverick,112,1,ID,8.8381,0.3259,0.3048,0.3128,0.2677,0.0269,0.0135,0.0429
P,Maverick,112,1,OR,1.6614,0.3333,0.328,0.329,0.3205,0.0054,0.0027,0.0087
P,Maverick,112,1,WA,1.8476,0.3327,0.3269,0.3272,0.3207,0.006,0.003,0.0096
P,Vernal,201,2,ID,13.412,0.328,0.299,0.3132,0.2416,0.0401,0.0201,0.0638
P,Vernal,201,2,OR,1.4243,0.3328,0.3286,0.3299,0.3219,0.0047,0.0023,0.0074
P,Vernal,201,2,WA,2.064,0.3356,0.3291,0.3294,0.3221,0.0068,0.0034,0.0108
P,22277_5246,144,3,ID,11.7977,0.3255,0.2999,0.3124,0.2493,0.0354,0.0177,0.0563
P,22277_5246,144,3,OR,2.4106,0.3298,0.3225,0.3238,0.3126,0.0078,0.0039,0.0124
P,22277_5246,144,3,WA,1.8546,0.3323,0.3266,0.3268,0.3203,0.0061,0.003,0.0096
P,Higest_360,202,3,ID,11.9492,0.327,0.2994,0.3104,0.2498,0.0358,0.0179,0.0569
P,Higest_360,202,3,OR,1.7323,0.3325,0.3285,0.3307,0.3202,0.0057,0.0028,0.0091
P,Higest_360,202,3,WA,2.3273,0.3356,0.3283,0.3286,0.3204,0.0076,0.0038,0.0122
P,Legend,44,4,ID,11.5308,0.3258,0.3003,0.312,0.2511,0.0346,0.0173,0.0551
P,Legend,44,4,OR,1.4099,0.3303,0.3269,0.3286,0.3202,0.0046,0.0023,0.0073
P,Legend,44,4,WA,1.9326,0.3329,0.3269,0.3271,0.3203,0.0063,0.0032,0.0101
P,Archer,104,5,ID,11.3841,0.3258,0.3004,0.312,0.252,0.0342,0.0171,0.0544
P,Archer,104,5,OR,1.6712,0.3303,0.3244,0.3239,0.3195,0.0054,0.0027,0.0086
P,Archer,104,5,WA,1.9462,0.333,0.3269,0.3271,0.3203,0.0064,0.0032,0.0101
P,ABI700,61,6,ID,9.9797,0.3256,0.3029,0.3128,0.2604,0.0302,0.0151,0.0481
P,ABI700,61,6,OR,3.5439,0.3298,0.3206,0.3239,0.3046,0.0114,0.0057,0.0181
P,ABI700,61,6,WA,1.8017,0.3323,0.3267,0.3269,0.3206,0.0059,0.0029,0.0094
Starch,Maverick,112,1,ID,10.9219,3.2055,2.894,2.9324,2.5057,0.3161,0.158,0.503
Starch,Maverick,112,1,OR,13.5355,4.1706,3.4915,3.3197,3.1561,0.4726,0.2363,0.752
Starch,Maverick,112,1,WA,27.7809,4.5703,3.3021,3.1308,2.3767,0.9174,0.4587,1.4597
Starch,Vernal,201,2,ID,13.6134,3.3261,2.8853,2.8749,2.4651,0.3928,0.1964,0.625
Starch,Vernal,201,2,OR,19.8207,4.5597,3.5509,3.32,3.0039,0.7038,0.3519,1.1199
Starch,Vernal,201,2,WA,9.8184,3.1433,2.9409,3.0516,2.5172,0.2888,0.1444,0.4595
Starch,22277_5246,144,3,ID,9.5469,3.2274,2.9295,2.9287,2.6332,0.2797,0.1398,0.445
Starch,22277_5246,144,3,OR,15.8532,4.3727,3.6229,3.4781,3.1628,0.5743,0.2872,0.9139
Starch,22277_5246,144,3,WA,12.0431,3.1631,2.9579,3.1219,2.4244,0.3562,0.1781,0.5668
Starch,Higest_360,202,3,ID,7.5086,3.2511,2.9943,2.9609,2.8042,0.2248,0.1124,0.3578
Starch,Higest_360,202,3,OR,22.5654,4.8812,3.6759,3.3647,3.0929,0.8295,0.4147,1.3199
Starch,Higest_360,202,3,WA,9.745,3.1678,2.9896,3.1182,2.5541,0.2913,0.1457,0.4636
Starch,Legend,44,4,ID,6.3287,3.1995,3.0223,3.0678,2.7543,0.1913,0.0956,0.3044
Starch,Legend,44,4,OR,18.2726,4.4336,3.4813,3.1826,3.1265,0.6361,0.3181,1.0122
Starch,Legend,44,4,WA,20.4551,4.2324,3.2843,3.1289,2.6469,0.6718,0.3359,1.069
Starch,Archer,104,5,ID,6.9118,3.1818,2.9697,2.9692,2.7586,0.2053,0.1026,0.3266
Starch,Archer,104,5,OR,19.6546,4.6194,3.583,3.2878,3.137,0.7042,0.3521,1.1206
Starch,Archer,104,5,WA,8.8587,3.3098,3.0614,3.1303,2.6754,0.2712,0.1356,0.4315
Starch,ABI700,61,6,ID,9.8971,3.3141,3.0043,3.0477,2.6076,0.2973,0.1487,0.4731
Starch,ABI700,61,6,OR,29.3144,5.6562,3.9944,3.5746,3.1723,1.1709,0.5855,1.8632
Starch,ABI700,61,6,WA,11.7596,3.1729,2.8735,2.9296,2.4621,0.3379,0.169,0.5377
Su_ESC,Maverick,112,1,ID,15.7211,8.7861,7.2229,6.9406,6.2244,1.1355,0.5678,1.8069
Su_ESC,Maverick,112,1,OR,16.8565,9.006,7.2366,6.7711,6.3983,1.2198,0.6099,1.941
Su_ESC,Maverick,112,1,WA,27.532,7.7169,6.2341,6.732,3.7556,1.7164,0.8582,2.7311
Su_ESC,Vernal,201,2,ID,8.3646,7.4507,6.8445,6.8747,6.1781,0.5725,0.2863,0.911
Su_ESC,Vernal,201,2,OR,14.3693,8.5359,7.061,6.6672,6.3737,1.0146,0.5073,1.6145
Su_ESC,Vernal,201,2,WA,23.4422,7.3534,6.1876,6.6649,4.067,1.4505,0.7252,2.3081
Su_ESC,22277_5246,144,3,ID,11.5913,7.9394,7.0597,7.0877,6.124,0.8183,0.4092,1.3021
Su_ESC,22277_5246,144,3,OR,15.463,8.7955,7.1946,6.7854,6.4119,1.1125,0.5562,1.7702
Su_ESC,22277_5246,144,3,WA,24.6656,7.4234,6.2076,6.7208,3.9653,1.5311,0.7656,2.4364
Su_ESC,Higest_360,202,3,ID,8.8942,8.2119,7.4795,7.4166,6.8729,0.6652,0.3326,1.0585
Su_ESC,Higest_360,202,3,OR,15.5642,8.8851,7.2333,6.7792,6.4895,1.1258,0.5629,1.7914
Su_ESC,Higest_360,202,3,WA,22.842,7.4458,6.2995,6.7795,4.1932,1.4389,0.7195,2.2896
Su_ESC,Legend,44,4,ID,8.1487,7.2919,6.8292,6.9664,6.0924,0.5565,0.2782,0.8855
Su_ESC,Legend,44,4,OR,13.6036,8.5806,7.166,6.7914,6.5008,0.9748,0.4874,1.5512
Su_ESC,Legend,44,4,WA,19.6985,7.3386,6.3387,6.7518,4.5123,1.2486,0.6243,1.9868
Su_ESC,Archer,104,5,ID,8.7663,7.5941,6.8141,6.7468,6.1688,0.5973,0.2987,0.9505
Su_ESC,Archer,104,5,OR,12.9298,8.4531,7.1264,6.7863,6.4798,0.9214,0.4607,1.4662
Su_ESC,Archer,104,5,WA,19.0778,7.1821,6.2888,6.7275,4.5181,1.1998,0.5999,1.9091
Su_ESC,ABI700,61,6,ID,11.5019,7.8855,7.1743,7.2679,6.2761,0.8252,0.4126,1.3131
Su_ESC,ABI700,61,6,OR,15.124,8.7947,7.2291,6.836,6.4497,1.0933,0.5467,1.7397
Su_ESC,ABI700,61,6,WA,23.7231,7.4383,6.2546,6.7486,4.0831,1.4838,0.7419,2.361
Su_WSC,Maverick,112,1,ID,19.3636,8.2229,6.7581,6.8857,5.038,1.3086,0.6543,2.0823
Su_WSC,Maverick,112,1,OR,10.4374,7.9721,7.1031,7.1341,6.1719,0.7414,0.3707,1.1797
Su_WSC,Maverick,112,1,WA,7.6603,8.8433,8.1431,8.2023,7.3246,0.6238,0.3119,0.9926
Su_WSC,Vernal,201,2,ID,15.297,7.0053,6.4317,6.8776,4.9665,0.9839,0.4919,1.5655
Su_WSC,Vernal,201,2,OR,10.9052,7.8896,6.9835,7.0049,6.0345,0.7616,0.3808,1.2118
Su_WSC,Vernal,201,2,WA,5.5627,8.1344,7.8755,8.0727,7.2223,0.4381,0.219,0.6971
Su_WSC,22277_5246,144,3,ID,16.8106,7.3337,6.5544,6.9771,4.9294,1.1018,0.5509,1.7532
Su_WSC,22277_5246,144,3,OR,10.601,7.9546,7.0834,7.1216,6.1358,0.7509,0.3755,1.1949
Su_WSC,22277_5246,144,3,WA,5.3039,8.1946,7.9083,8.0692,7.3003,0.4195,0.2097,0.6674
Su_WSC,Higest_360,202,3,ID,14.8516,7.6462,6.8835,7.2331,5.4214,1.0223,0.5112,1.6267
Su_WSC,Higest_360,202,3,OR,9.8157,7.9865,7.1132,7.0944,6.2772,0.6982,0.3491,1.111
Su_WSC,Higest_360,202,3,WA,4.9702,8.2121,7.9475,8.1032,7.3717,0.395,0.1975,0.6285
Su_WSC,Legend,44,4,ID,17.1203,7.1843,6.4968,6.9792,4.8447,1.1123,0.5561,1.7699
Su_WSC,Legend,44,4,OR,10.7388,7.9604,7.0617,7.0859,6.1146,0.7583,0.3792,1.2067
Su_WSC,Legend,44,4,WA,5.4095,8.204,7.877,8.0037,7.2965,0.4261,0.2131,0.678
Su_WSC,Archer,104,5,ID,16.3339,7.2944,6.5066,6.8966,4.9388,1.0628,0.5314,1.6911
Su_WSC,Archer,104,5,OR,10.5391,7.9501,7.0822,7.1187,6.1412,0.7464,0.3732,1.1877
Su_WSC,Archer,104,5,WA,5.3193,8.1887,7.8645,7.9849,7.2994,0.4183,0.2092,0.6657
Su_WSC,ABI700,61,6,ID,16.2029,7.3208,6.5876,7.0087,5.0121,1.0674,0.5337,1.6984
Su_WSC,ABI700,61,6,OR,10.4474,7.952,7.1217,7.1826,6.1698,0.744,0.372,1.1839
Su_WSC,ABI700,61,6,WA,5.1906,8.1871,7.897,8.045,7.3109,0.4099,0.205,0.6522
aNDF,Maverick,112,1,ID,10.392,38.7077,34.6514,34.1586,31.5808,3.601,1.8005,5.73
aNDF,Maverick,112,1,OR,4.9197,34.7493,33.7863,34.5483,31.2995,1.6622,0.8311,2.6449
aNDF,Maverick,112,1,WA,5.4009,33.9999,32.0557,31.8731,30.4769,1.7313,0.8656,2.7549
aNDF,Vernal,201,2,ID,6.7288,38.202,35.9534,36.2776,33.0565,2.4192,1.2096,3.8495
aNDF,Vernal,201,2,OR,0.9609,35.9089,35.6286,35.7109,35.1837,0.3424,0.1712,0.5448
aNDF,Vernal,201,2,WA,6.1277,34.9791,32.4403,32.0341,30.7138,1.9879,0.9939,3.1631
aNDF,22277_5246,144,3,ID,7.8958,37.9103,35.4097,35.9721,31.7844,2.7959,1.3979,4.4489
aNDF,22277_5246,144,3,OR,2.289,36.6632,35.4617,35.1496,34.8844,0.8117,0.4059,1.2916
aNDF,22277_5246,144,3,WA,6.1729,34.3847,32.4057,32.3428,30.5527,2.0004,1.0002,3.183
aNDF,Higest_360,202,3,ID,7.3314,36.4474,34.3444,34.9059,31.1185,2.5179,1.259,4.0066
aNDF,Higest_360,202,3,OR,1.3097,35.062,34.6786,34.746,34.1605,0.4542,0.2271,0.7227
aNDF,Higest_360,202,3,WA,5.4298,33.7267,32.0106,31.9577,30.4003,1.7381,0.869,2.7657
aNDF,Legend,44,4,ID,10.1779,40.5226,36.2444,36.2717,31.9117,3.6889,1.8445,5.8699
aNDF,Legend,44,4,OR,2.0975,36.8565,35.7956,35.5998,35.1262,0.7508,0.3754,1.1947
aNDF,Legend,44,4,WA,6.8994,34.6345,32.6687,32.7302,30.5797,2.2539,1.127,3.5865
aNDF,Archer,104,5,ID,10.5161,40.6093,35.9161,35.6501,31.755,3.777,1.8885,6.01
aNDF,Archer,104,5,OR,0.8877,35.4235,35.017,34.9883,34.6677,0.3108,0.1554,0.4946
aNDF,Archer,104,5,WA,6.1932,34.1942,32.4265,32.4739,30.5637,2.0082,1.0041,3.1955
aNDF,ABI700,61,6,ID,9.3109,39.1452,35.7521,36.1182,31.6265,3.3288,1.6644,5.2969
aNDF,ABI700,61,6,OR,1.2044,36.0152,35.418,35.2753,35.1061,0.4266,0.2133,0.6788
aNDF,ABI700,61,6,WA,6.1745,34.5841,32.42,32.2569,30.5818,2.0018,1.0009,3.1853
dNDF30,Maverick,112,1,ID,12.0994,16.2883,14.851,15.4282,12.8364,1.7969,1.0374,4.4637
dNDF30,Maverick,112,1,OR,8.9261,14.3385,13.3143,13.5932,12.0112,1.1885,0.6862,2.9523
dNDF30,Maverick,112,1,WA,4.6929,13.1753,12.5383,12.4245,12.0151,0.5884,0.3397,1.4617
dNDF30,Vernal,201,2,ID,4.9409,16.4411,15.6528,15.6219,14.8953,0.7734,0.4465,1.9212
dNDF30,Vernal,201,2,OR,9.4951,14.8078,13.9535,14.6254,12.4273,1.3249,0.7649,3.2912
dNDF30,Vernal,201,2,WA,4.7185,13.2858,12.6401,12.5247,12.1098,0.5964,0.3443,1.4816
dNDF30,22277_5246,144,3,ID,4.3345,15.8979,15.1937,15.0902,14.5931,0.6586,0.3802,1.636
dNDF30,22277_5246,144,3,OR,6.9396,14.026,13.3782,13.794,12.3146,0.9284,0.536,2.3062
dNDF30,22277_5246,144,3,WA,4.0957,13.1662,12.6072,12.5073,12.1481,0.5163,0.2981,1.2827
dNDF30,Higest_360,202,3,ID,5.5023,15.7226,14.9075,14.9178,14.0822,0.8203,0.4736,2.0376
dNDF30,Higest_360,202,3,OR,7.6549,14.168,13.3589,13.6992,12.2095,1.0226,0.5904,2.5403
dNDF30,Higest_360,202,3,WA,3.9996,13.0714,12.5289,12.432,12.0834,0.5011,0.2893,1.2448
dNDF30,Legend,44,4,ID,4.3964,16.3096,15.5775,15.4703,14.9526,0.6849,0.3954,1.7013
dNDF30,Legend,44,4,OR,10.4952,15.075,13.7781,14.0404,12.2188,1.446,0.8349,3.5922
dNDF30,Legend,44,4,WA,4.6348,13.2223,12.5906,12.4777,12.0717,0.5836,0.3369,1.4496
dNDF30,Archer,104,5,ID,5.9279,16.1337,15.2719,15.3533,14.3286,0.9053,0.5227,2.2489
dNDF30,Archer,104,5,OR,8.489,14.5107,13.4956,13.7227,12.2534,1.1456,0.6614,2.8459
dNDF30,Archer,104,5,WA,4.4074,13.1967,12.5957,12.4884,12.1021,0.5551,0.3205,1.3791
dNDF30,ABI700,61,6,ID,5.7231,16.1696,15.295,15.2964,14.4189,0.8754,0.5054,2.1745
dNDF30,ABI700,61,6,OR,7.6819,13.9547,13.2269,13.6598,12.066,1.0161,0.5866,2.5241
dNDF30,ABI700,61,6,WA,4.479,13.1889,12.579,12.47,12.078,0.5634,0.3253,1.3996
dNDF48,Maverick,112,1,ID,13.9731,18.3025,16.7543,17.8993,14.0611,2.3411,1.3516,5.8156
dNDF48,Maverick,112,1,OR,5.6184,17.1878,16.3308,16.4417,15.3628,0.9175,0.5297,2.2793
dNDF48,Maverick,112,1,WA,3.5957,16.7,16.1733,16.2706,15.5492,0.5815,0.3358,1.4446
dNDF48,Vernal,201,2,ID,6.6365,17.7188,17.0321,17.6499,15.7275,1.1303,0.6526,2.8079
dNDF48,Vernal,201,2,OR,4.3468,17.5197,16.9979,17.3216,16.1524,0.7389,0.4266,1.8354
dNDF48,Vernal,201,2,WA,2.4209,16.8881,16.4795,16.4595,16.0909,0.399,0.2303,0.9911
dNDF48,22277_5246,144,3,ID,6.2408,17.3619,16.5043,16.7892,15.3619,1.03,0.5947,2.5587
dNDF48,22277_5246,144,3,OR,2.6946,16.6416,16.3426,16.5494,15.8369,0.4404,0.2542,1.0939
dNDF48,22277_5246,144,3,WA,2.2121,16.6163,16.2828,16.3313,15.9008,0.3602,0.208,0.8948
dNDF48,Higest_360,202,3,ID,7.1436,17.1875,16.2791,16.6815,14.9685,1.1629,0.6714,2.8889
dNDF48,Higest_360,202,3,OR,3.3713,16.6785,16.1827,16.2712,15.5982,0.5456,0.315,1.3553
dNDF48,Higest_360,202,3,WA,2.5249,16.3758,16.0512,16.1809,15.597,0.4053,0.234,1.0068
dNDF48,Legend,44,4,ID,8.6552,18.4227,17.2078,17.6545,15.5462,1.4894,0.8599,3.6998
dNDF48,Legend,44,4,OR,6.4956,17.8576,16.7234,16.6203,15.6924,1.0863,0.6272,2.6985
dNDF48,Legend,44,4,WA,2.8295,16.6999,16.2691,16.3232,15.7841,0.4603,0.2658,1.1435
dNDF48,Archer,104,5,ID,8.3991,18.0135,16.9114,17.4123,15.3084,1.4204,0.8201,3.5285
dNDF48,Archer,104,5,OR,2.7502,16.8298,16.4167,16.4857,15.9348,0.4515,0.2607,1.1216
dNDF48,Archer,104,5,WA,2.1953,16.6676,16.3265,16.3592,15.9529,0.3584,0.2069,0.8904
dNDF48,ABI700,61,6,ID,6.6724,17.5361,16.8345,17.4284,15.5389,1.1233,0.6485,2.7904
dNDF48,ABI700,61,6,OR,2.8383,16.6206,16.263,16.4266,15.7419,0.4616,0.2665,1.1467
dNDF48,ABI700,61,6,WA,2.3037,16.6492,16.295,16.3343,15.9015,0.3754,0.2167,0.9325
